R173:3233334.052278,0.007964,3233334.110915,3233334.118879
R174:3233334.092539,0.227135,3233334.118884,3233334.346019
R175:3233334.148289,0.025709,3233334.346026,3233334.371735
R176:3233334.235901,0.119546,3233334.371741,3233334.491288
R177:3233334.343419,0.014259,3233334.491294,3233334.505553
R178:3233334.410255,0.081884,3233334.505558,3233334.587441
R179:3233334.624849,0.019416,3233334.624920,3233334.644337
R180:3233334.697776,0.046289,3233334.697845,3233334.744134
R181:3233334.779327,0.041793,3233334.779399,3233334.821193
R182:3233334.956492,0.032879,3233334.956569,3233334.989448
R183:3233334.984512,0.084827,3233334.989462,3233335.074289
R184:3233335.115214,0.034405,3233335.115277,3233335.149682
R185:3233335.534159,0.012189,3233335.534230,3233335.546419
R186:3233335.762013,0.000452,3233335.762089,3233335.762541
R187:3233335.814917,0.124078,3233335.814990,3233335.939068
R188:3233335.967840,0.010149,3233335.967903,3233335.978052
R189:3233336.002616,0.106380,3233336.002679,3233336.109060
R190:3233336.203267,0.049684,3233336.203335,3233336.253019
R191:3233336.208314,0.102558,3233336.253039,3233336.355597
R192:3233336.638584,0.053521,3233336.638650,3233336.692171
R193:3233336.662275,0.008219,3233336.692191,3233336.700410
R194:3233336.862665,0.040226,3233336.862732,3233336.902958
R195:3233336.873158,0.089198,3233336.902979,3233336.992177
R196:3233336.909081,0.011768,3233336.992183,3233337.003952
R197:3233337.074683,0.004575,3233337.074752,3233337.079327
R198:3233337.079978,0.126507,3233337.079990,3233337.206497
R199:3233337.141183,0.048700,3233337.206506,3233337.255206
R200:3233337.258981,0.074226,3233337.259044,3233337.333271
R201:3233337.271670,0.062901,3233337.333288,3233337.396188
R202:3233337.358101,0.037441,3233337.396196,3233337.433637
R203:3233337.448506,0.182978,3233337.448578,3233337.631556
R204:3233337.484793,0.015509,3233337.631571,3233337.647081
R205:3233337.549535,0.062168,3233337.647090,3233337.709258
R206:3233337.643632,0.075569,3233337.709265,3233337.784834
R207:3233337.740114,0.147569,3233337.784841,3233337.932410
R208:3233337.766732,0.008672,3233337.932417,3233337.941089
R209:3233337.774004,0.015492,3233337.941096,3233337.956588
R210:3233338.031352,0.021294,3233338.031419,3233338.052713
R211:3233338.097084,0.028638,3233338.097164,3233338.125803
R212:3233338.272403,0.175501,3233338.272470,3233338.447972
R213:3233338.316599,0.140575,3233338.447993,3233338.588569
R214:3233338.358803,0.003084,3233338.588577,3233338.591661
R215:3233338.466440,0.125520,3233338.591665,3233338.717185
R216:3233338.496216,0.150710,3233338.717192,3233338.867902
R217:3233338.594563,0.020813,3233338.867927,3233338.888740
R218:3233338.631410,0.078991,3233338.888748,3233338.967739
R219:3233338.653482,0.093560,3233338.967746,3233339.061306
R220:3233338.665109,0.105920,3233339.061313,3233339.167233
R221:3233338.817559,0.042734,3233339.167241,3233339.209975
R222:3233338.839923,0.047431,3233339.209981,3233339.257412
R223:3233338.877858,0.040613,3233339.257419,3233339.298032
R224:3233338.904129,0.014008,3233339.298037,3233339.312045
R225:3233338.980245,0.001224,3233339.312051,3233339.313275
R226:3233339.061310,0.040128,3233339.313281,3233339.353409
R227:3233339.109154,0.111429,3233339.353415,3233339.464845
R228:3233339.145602,0.087404,3233339.464851,3233339.552255
R229:3233339.175776,0.210052,3233339.552261,3233339.762314
R230:3233339.256149,0.138300,3233339.762322,3233339.900622
R231:3233339.371985,0.031158,3233339.900628,3233339.931785
R232:3233339.491673,0.000502,3233339.931790,3233339.932292
R233:3233339.595493,0.154777,3233339.932295,3233340.087072
R234:3233339.671633,0.085763,3233340.087081,3233340.172845
R235:3233339.767989,0.042667,3233340.172851,3233340.215518
R236:3233339.841083,0.105744,3233340.215528,3233340.321272
R237:3233339.886054,0.094385,3233340.321277,3233340.415662
R238:3233340.047956,0.002787,3233340.415669,3233340.418457
R239:3233340.064552,0.096456,3233340.418461,3233340.514917
R240:3233340.071123,0.080404,3233340.514924,3233340.595328
R241:3233340.091904,0.069912,3233340.595335,3233340.665246
R242:3233340.212406,0.000477,3233340.665252,3233340.665729
R243:3233340.212525,0.025269,3233340.665734,3233340.691003
R244:3233340.248947,0.162400,3233340.691009,3233340.853409
R245:3233340.355479,0.034797,3233340.853417,3233340.888214
R246:3233340.375473,0.176004,3233340.888220,3233341.064224
R247:3233340.485540,0.031313,3233341.064232,3233341.095545
R248:3233340.591476,0.017177,3233341.095553,3233341.112730
R249:3233340.807776,0.058341,3233341.112740,3233341.171082
R250:3233340.824877,0.093829,3233341.171093,3233341.264922
R251:3233341.001465,0.017675,3233341.264930,3233341.282604
R252:3233341.235989,0.102034,3233341.282611,3233341.384644
R253:3233341.286173,0.066062,3233341.384651,3233341.450713
R254:3233341.489377,0.224617,3233341.489452,3233341.714069
R255:3233341.623692,0.217625,3233341.714086,3233341.931711
R256:3233341.650241,0.225779,3233341.931719,3233342.157499
R257:3233341.730420,0.067019,3233342.157507,3233342.224526
R258:3233341.798630,0.133972,3233342.224533,3233342.358506
R259:3233342.078536,0.075219,3233342.358512,3233342.433731
R260:3233342.246818,0.446682,3233342.433738,3233342.880420
