R43:3737305.764515,0.223841,3737305.764582,3737305.988424
R44:3737305.807861,0.116050,3737305.988443,3737306.104493
R45:3737305.879756,0.088829,3737306.104501,3737306.193330
R46:3737306.402140,0.195670,3737306.402219,3737306.597889
R47:3737306.580632,0.257662,3737306.597906,3737306.855569
R48:3737306.677143,0.168614,3737306.855575,3737307.024190
R49:3737306.761852,0.241880,3737307.024207,3737307.266087
R50:3737306.953976,0.024312,3737307.266096,3737307.290408
R51:3737307.063774,0.252733,3737307.290413,3737307.543146
R52:3737307.563926,0.212915,3737307.564018,3737307.776933
R53:3737307.590569,0.056555,3737307.776954,3737307.833510
R54:3737307.761380,0.032998,3737307.833528,3737307.866526
R55:3737307.922485,0.036739,3737307.922560,3737307.959299
R56:3737308.179466,0.025632,3737308.179528,3737308.205160
R57:3737308.278216,0.032329,3737308.278279,3737308.310608
R58:3737308.312835,0.053871,3737308.312899,3737308.366770
R59:3737308.448328,0.237305,3737308.448396,3737308.685701
R60:3737308.479311,0.013476,3737308.685718,3737308.699194
R61:3737308.497466,0.142910,3737308.699202,3737308.842112
R62:3737308.611485,0.273343,3737308.842118,3737309.115461
R63:3737309.308706,0.048319,3737309.308782,3737309.357101
R64:3737309.500953,0.045992,3737309.501022,3737309.547014
R65:3737309.731872,0.026431,3737309.731961,3737309.758392
R66:3737309.789953,0.028026,3737309.790025,3737309.818051
R67:3737309.936335,0.131732,3737309.936405,3737310.068138
R68:3737309.963897,0.157731,3737310.068152,3737310.225883
R69:3737309.986247,0.136677,3737310.225890,3737310.362567
R70:3737310.016127,0.299782,3737310.362576,3737310.662357
R71:3737310.029042,0.073723,3737310.662364,3737310.736088
R72:3737310.038041,0.027452,3737310.736093,3737310.763545
R73:3737310.070353,0.131921,3737310.763550,3737310.895471
R74:3737310.336773,0.342360,3737310.895476,3737311.237837
R75:3737310.514904,0.142601,3737311.237843,3737311.380444
R76:3737310.684948,0.014491,3737311.380451,3737311.394943
R77:3737310.701350,0.008146,3737311.394949,3737311.403095
R78:3737310.823759,0.022898,3737311.403101,3737311.425999
R79:3737310.835844,0.171301,3737311.426006,3737311.597307
R80:3737310.938984,0.140887,3737311.597314,3737311.738201
R81:3737311.080942,0.017175,3737311.738208,3737311.755383
R82:3737311.089837,0.022857,3737311.755390,3737311.778247
R83:3737313.082312,0.013407,3737313.082404,3737313.095811
R84:3737313.450164,0.005557,3737313.450242,3737313.455800
R85:3737314.469988,0.007508,3737314.470067,3737314.477575
R86:3737314.810738,0.256485,3737314.810813,3737315.067298
R87:3737314.811444,0.019891,3737315.067330,3737315.087221
R88:3737314.961639,0.049707,3737315.087231,3737315.136938
R89:3737314.991335,0.171311,3737315.136949,3737315.308260
R90:3737315.398374,0.080405,3737315.398455,3737315.478860
R91:3737315.472533,0.060253,3737315.478886,3737315.539139
R92:3737315.616904,0.010496,3737315.616973,3737315.627469
R93:3737315.810715,0.141590,3737315.810783,3737315.952373
R94:3737315.936854,0.485729,3737315.952396,3737316.438125
R95:3737315.997335,0.210057,3737316.438152,3737316.648209
